domain,category,model_tier,base_model,quality_score,quality_passed,duration_seconds,samples_generated,generation_time,gguf_size_mb,gguf_quality,batch_size,max_steps,lora_r,learning_rate
academic_tutoring,education,expert,Qwen/Qwen2.5-14B-Instruct,99.86113448394462,True,46.167124,5000,0.4599091291427613,8.3,98.5,1,1200,16,5e-5
career_guidance,education,premium,microsoft/Phi-3-medium-14B-instruct,99.96865256980527,True,46.165994,5000,0.46828746795654297,8.3,98.5,1,1500,20,3e-5
ai_ml,technology,expert,Qwen/Qwen2.5-14B-Instruct,99.88823710009456,True,35.745706,5000,0.4340745210647583,8.3,98.5,1,1200,16,5e-5
educational_technology,education,balanced,Qwen/Qwen2.5-7B-Instruct,99.8464725795202,True,46.226825,5000,0.47413928508758546,8.3,98.5,2,846,8,1e-4
design_thinking,creative,quality,microsoft/Phi-3-medium-4k-instruct,99.97978350147605,True,45.521596,5000,0.4393749475479126,8.3,98.5,1,1000,12,8e-5
tech_support,technology,fast,microsoft/Phi-3.5-mini-instruct,99.97405991598498,True,35.748476,5000,0.4516934394836426,8.3,98.5,4,650,6,0.00015
study_techniques,education,quality,microsoft/Phi-3-medium-4k-instruct,99.959594005486,True,46.163737,5000,0.4433341503143311,8.3,98.5,1,1000,12,8e-5
relationships,daily_life,quality,microsoft/Phi-3-medium-4k-instruct,99.95365512149874,True,65.027059,5000,0.43565638065338136,8.3,98.5,1,1000,12,8e-5
programming,technology,expert,Qwen/Qwen2.5-14B-Instruct,99.87256231252104,True,35.745551,5000,0.4843946695327759,8.3,98.5,1,1200,16,5e-5
legal_business,business,premium,microsoft/Phi-3-medium-14B-instruct,99.97133588185534,True,66.018204,5000,0.4523589849472046,8.3,98.5,1,1500,20,3e-5
financial,specialized,premium,microsoft/Phi-3-medium-14B-instruct,99.96790866425727,True,25.737937,5000,0.4449746131896973,8.3,98.5,1,1500,20,3e-5
decision_making,daily_life,quality,microsoft/Phi-3-medium-4k-instruct,99.95728240173776,True,65.047347,5000,0.44094486236572267,8.3,98.5,1,1000,12,8e-5
customer_service,business,fast,microsoft/Phi-3.5-mini-instruct,99.98485973919742,True,66.030806,5000,0.46831703186035156,8.3,98.5,4,650,6,0.00015
communication,daily_life,fast,microsoft/Phi-3.5-mini-instruct,99.99630763486493,True,65.026837,5000,0.4644055843353272,8.3,98.5,4,650,6,0.00015
conflict_resolution,daily_life,quality,microsoft/Phi-3-medium-4k-instruct,99.95628929464146,True,65.047739,5000,0.4553330183029175,8.3,98.5,1,1000,12,8e-5
chronic_conditions,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.98842569548287,True,71.46287,5000,0.4495179414749146,8.3,98.5,1,1500,20,3e-5
content_creation,creative,balanced,Qwen/Qwen2.5-7B-Instruct,99.8546653543599,True,45.521869,5000,0.440185284614563,8.3,98.5,2,846,8,1e-4
team_leadership,business,expert,Qwen/Qwen2.5-14B-Instruct,99.9006194062531,True,66.030896,5000,0.457374906539917,8.3,98.5,1,1200,16,5e-5
project_management,business,expert,Qwen/Qwen2.5-14B-Instruct,99.90463607246056,True,66.03077,5000,0.4388882160186768,8.3,98.5,1,1200,16,5e-5
home_management,daily_life,fast,microsoft/Phi-3.5-mini-instruct,99.99000483439886,True,65.026671,5000,0.4395903825759888,8.3,98.5,4,650,6,0.00015
general_health,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.96498822874855,True,47.926683,5000,2.9505682706832888,8.3,98.5,1,1500,20,3e-5
general_health,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.9847637154744,True,71.433459,5000,0.5035645961761475,8.3,98.5,1,1500,20,3e-5
fitness,healthcare,fast,microsoft/Phi-3.5-mini-instruct,99.99201052632998,True,71.432323,5000,0.4553440570831299,8.3,98.5,4,650,6,0.00015
language_learning,education,fast,microsoft/Phi-3.5-mini-instruct,99.98917526900186,True,46.164822,5000,0.4581629753112793,8.3,98.5,4,650,6,0.00015
storytelling,creative,quality,microsoft/Phi-3-medium-4k-instruct,99.93908612523228,True,45.522101,5000,0.43657224178314213,8.3,98.5,1,1000,12,8e-5
strategy,business,expert,Qwen/Qwen2.5-14B-Instruct,99.83555972576141,True,66.018825,5000,0.4374839544296265,8.3,98.5,1,1200,16,5e-5
social_media,creative,fast,microsoft/Phi-3.5-mini-instruct,99.98047744156793,True,45.52182,5000,0.4687405109405518,8.3,98.5,4,650,6,0.00015
stress_management,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.98836476443103,True,71.432085,5000,0.4706467151641846,8.3,98.5,1,1500,20,3e-5
software_development,technology,expert,Qwen/Qwen2.5-14B-Instruct,99.90203243214637,True,35.749245,5000,0.49227159023284917,8.3,98.5,1,1200,16,5e-5
skill_development,education,quality,microsoft/Phi-3-medium-4k-instruct,99.98144936689641,True,46.166587,5000,0.4406986951828003,8.3,98.5,1,1000,12,8e-5
sleep,healthcare,quality,microsoft/Phi-3-medium-4k-instruct,99.967487284448,True,71.432037,5000,0.4370858669281006,8.3,98.5,1,1000,12,8e-5
nutrition,healthcare,quality,microsoft/Phi-3-medium-4k-instruct,99.96356088959146,True,71.432533,5000,0.45111248493194583,8.3,98.5,1,1000,12,8e-5
planning,daily_life,balanced,Qwen/Qwen2.5-7B-Instruct,99.86259962897748,True,65.025403,5000,0.4401167392730713,8.3,98.5,2,846,8,1e-4
parenting,daily_life,quality,microsoft/Phi-3-medium-4k-instruct,99.97898827859899,True,65.027607,5000,0.4797947406768799,8.3,98.5,1,1000,12,8e-5
preventive_care,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.95592961495277,True,71.431971,5000,0.4404507398605347,8.3,98.5,1,1500,20,3e-5
operations,business,balanced,Qwen/Qwen2.5-7B-Instruct,99.83760449104011,True,66.079854,5000,0.4523146390914917,8.3,98.5,2,846,8,1e-4
photography,creative,fast,microsoft/Phi-3.5-mini-instruct,99.97514574497472,True,45.52129,5000,0.45699284076690677,8.3,98.5,4,650,6,0.00015
personal_assistant,daily_life,balanced,Qwen/Qwen2.5-7B-Instruct,99.91954881115817,True,65.026925,5000,0.4390249252319336,8.3,98.5,2,846,8,1e-4
financial_planning,business,premium,microsoft/Phi-3-medium-14B-instruct,99.96787465934176,True,66.034446,5000,0.46097769737243655,8.3,98.5,1,1500,20,3e-5
general_health,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.977381194185,True,48.232072,5000,2.8138137578964235,8.3,98.5,1,1500,20,3e-5
cybersecurity,technology,premium,microsoft/Phi-3-medium-14B-instruct,99.97096370498184,True,35.746658,5000,0.4419630527496338,8.3,98.5,1,1500,20,3e-5
consulting,business,expert,Qwen/Qwen2.5-14B-Instruct,99.88486439688131,True,66.018542,5000,0.4502388954162598,8.3,98.5,1,1200,16,5e-5
hr_management,business,quality,microsoft/Phi-3-medium-4k-instruct,99.94812638615258,True,66.019534,5000,0.4989261865615845,8.3,98.5,1,1000,12,8e-5
data_analysis,technology,expert,Qwen/Qwen2.5-14B-Instruct,99.8662871774286,True,35.747574,5000,0.47197039127349855,8.3,98.5,1,1200,16,5e-5
marketing,business,quality,microsoft/Phi-3-medium-4k-instruct,99.98037758050486,True,66.029861,5000,0.44945726394653324,8.3,98.5,1,1000,12,8e-5
music,creative,fast,microsoft/Phi-3.5-mini-instruct,99.96509813936427,True,45.520798,5000,0.4404932022094727,8.3,98.5,4,650,6,0.00015
medication_management,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.97006705380045,True,71.490326,5000,0.4544399738311768,8.3,98.5,1,1500,20,3e-5
research_assistance,education,expert,Qwen/Qwen2.5-14B-Instruct,99.88769212504849,True,46.164379,5000,0.44351422786712646,8.3,98.5,1,1200,16,5e-5
scientific_research,specialized,expert,Qwen/Qwen2.5-14B-Instruct,99.86844281665981,True,25.737806,5000,0.44650957584381107,8.3,98.5,1,1200,16,5e-5
shopping,daily_life,lightning,HuggingFaceTB/SmolLM2-1.7B,99.89018009509891,True,65.025897,5000,0.45465140342712407,8.3,98.5,8,500,4,2e-4
art_appreciation,creative,lightning,HuggingFaceTB/SmolLM2-1.7B,99.85397029668093,True,45.566696,5000,0.4345207452774048,8.3,98.5,8,500,4,2e-4
legal,specialized,premium,microsoft/Phi-3-medium-14B-instruct,99.98714630637551,True,25.736458,5000,0.48293185234069824,8.3,98.5,1,1500,20,3e-5
time_management,daily_life,balanced,Qwen/Qwen2.5-7B-Instruct,99.86836394527927,True,64.963061,5000,0.46782932281494144,8.3,98.5,2,846,8,1e-4
work_life_balance,daily_life,quality,microsoft/Phi-3-medium-4k-instruct,99.98711784865009,True,65.047697,5000,0.4491128206253052,8.3,98.5,1,1000,12,8e-5
women_health,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.95208028703928,True,71.489573,5000,0.4753644943237305,8.3,98.5,1,1500,20,3e-5
writing,creative,quality,microsoft/Phi-3-medium-4k-instruct,99.96143266325817,True,45.522629,5000,0.48687324523925785,8.3,98.5,1,1000,12,8e-5
engineering,specialized,expert,Qwen/Qwen2.5-14B-Instruct,99.88739837426692,True,25.738026,5000,0.46001031398773196,8.3,98.5,1,1200,16,5e-5
exam_preparation,education,quality,microsoft/Phi-3-medium-4k-instruct,99.94933424168266,True,46.165447,5000,0.4374375343322754,8.3,98.5,1,1000,12,8e-5
senior_health,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.97200879151933,True,71.488971,5000,0.44388525485992436,8.3,98.5,1,1500,20,3e-5
mental_health,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.94724055868573,True,71.433091,5000,0.43743343353271485,8.3,98.5,1,1500,20,3e-5
emergency_care,healthcare,premium,microsoft/Phi-3-medium-14B-instruct,99.97565590165323,True,71.489914,5000,0.4385229110717774,8.3,98.5,1,1500,20,3e-5
entrepreneurship,business,expert,Qwen/Qwen2.5-14B-Instruct,99.89514460321516,True,66.029707,5000,0.4654885292053223,8.3,98.5,1,1200,16,5e-5
sales,business,quality,microsoft/Phi-3-medium-4k-instruct,99.98157549998723,True,66.029843,5000,0.43760266304016116,8.3,98.5,1,1000,12,8e-5
transportation,daily_life,fast,microsoft/Phi-3.5-mini-instruct,99.97231429442763,True,65.025368,5000,0.4387269973754883,8.3,98.5,4,650,6,0.00015
